id;line_id;name;email;pnr;comment;star;created_at;updated_at
13;531;Isim Soyisim;turker@kartonmail.com;121S34;Korkunç bir lavabo deneyimi;1.00;2020-04-06 10:37:31;2020-04-09 17:04:35
1235;531;Isim Soyisim;turker@kartonmail.com;15SD44;Patlamış mısırları çok beğendim;4.00;2020-04-06 10:37:31;2020-04-09 17:04:35
157;531;Isim Soyisim;turker@kartonmail.com;123G40;Tipsiz beyefendiye yazıklar olsun;2.00;2020-04-06 10:37:31;2020-04-09 17:04:35
1332;531;Isim Soyisim;turker@kartonmail.com;123SG4;Merhaba;5.00;2020-04-06 10:37:31;2020-04-09 17:04:35
14157;531;Name Surname;englander@kartonmail.com;234B45;test;1.00;2020-04-06 15:00:54;2020-04-09 17:04:38
1434;531;Name Surname;englander@kartonmail.com;234VG5;deneme;1.00;2020-04-06 15:00:54;2020-04-09 17:04:38
12344;531;Name Surname;englander@kartonmail.com;234598;takım taklavat;1.00;2020-04-06 15:00:54;2020-04-09 17:04:38
1467;531;Name Surname;englander@kartonmail.com;2345BG;burada resmen bir uçak var;1.00;2020-04-06 15:00:54;2020-04-09 17:04:38
1593;531;Vorname Nachname;germaner@kartonmail.com;345GG6;makarnanın tadı çok gğzeldi evet evet o beyefendi gerçekten de çok tipsizdi;4.00;2020-04-07 13:12:17;2020-04-09 17:27:06
194595;531;Vorname Nachname;germaner@kartonmail.com;34XE56;uçak 4 saat geç kaldı hiç memnun kalmadım;1.00;2020-04-07 13:12:17;2020-04-09 17:27:06
1569;531;Vorname Nachname;germaner@kartonmail.com;345644;bir insan yaotıklarının bedelini ödemeli;1.00;2020-04-07 13:12:17;2020-04-09 17:27:06
1520;531;Vorname Nachname;germaner@kartonmail.com;34DA56;korkunç derecede pis her yer bir daha asla kullanmam;5.00;2020-04-07 13:12:17;2020-04-09 17:27:06
